game,combination,draw_date,jackpot_php,winners
4D Lotto,5-4-3-0,7/25/2018,23851.00,18
4D Lotto,4-9-7-2,7/27/2018,37995.00,16
4D Lotto,8-8-7-8,7/30/2018,67653.00,10
4D Lotto,5-5-3-5,8/1/2018,74550.00,10
4D Lotto,4-0-7-1,8/3/2018,110937.00,7
4D Lotto,9-7-2-7,8/6/2018,19897.00,15
4D Lotto,6-6-1-6,8/8/2018,14755.00,29
4D Lotto,5-7-7-2,8/10/2018,29960.00,23
4D Lotto,7-2-6-9,8/13/2018,70812.00,10
4D Lotto,6-1-1-0,8/15/2018,10467.00,26
4D Lotto,6-8-7-7,8/17/2018,169179.00,4
4D Lotto,9-5-7-9,8/20/2018,91723.00,8
4D Lotto,2-0-2-8,8/22/2018,10000.00,126
4D Lotto,8-6-8-9,8/24/2018,48910.00,16
4D Lotto,9-4-5-9,8/27/2018,38940.00,17
4D Lotto,6-4-8-7,8/29/2018,72994.00,11
4D Lotto,6-8-8-0,8/31/2018,65526.00,12
4D Lotto,5-6-9-8,9/3/2018,34511.00,22
4D Lotto,5-8-2-7,9/5/2018,16600.00,20
4D Lotto,9-8-8-8,9/7/2018,10000.00,79
4D Lotto,2-6-9-0,9/10/2018,27675.00,30
4D Lotto,1-6-3-7,9/12/2018,23750.00,33
4D Lotto,2-9-3-0,9/14/2018,10000.00,99
4D Lotto,2-3-0-6,9/17/2018,17134.00,43
4D Lotto,8-9-1-5,9/19/2018,25797.00,17
4D Lotto,6-4-5-1,9/21/2018,58806.00,14
4D Lotto,9-3-2-6,9/24/2018,14675.00,27
4D Lotto,4-0-6-7,9/26/2018,56807.00,12
4D Lotto,0-2-5-9,9/28/2018,34055.00,19
4D Lotto,4-6-7-5,10/1/2018,35954.00,22
4D Lotto,1-6-0-6,10/3/2018,23942.00,30
4D Lotto,7-2-7-1,10/5/2018,84254.00,9
4D Lotto,4-4-9-8,10/8/2018,48467.00,17
4D Lotto,8-9-9-5,10/10/2018,30379.00,26
4D Lotto,4-5-1-8,10/12/2018,15505.00,22
4D Lotto,8-9-9-5,10/15/2018,52326.00,16
4D Lotto,3-5-0-7,10/17/2018,105529.00,7
4D Lotto,2-1-6-7,10/19/2018,26742.00,29
4D Lotto,9-6-8-2,10/22/2018,87370.00,10
4D Lotto,7-7-8-3,10/24/2018,55213.00,16
4D Lotto,7-1-0-9,10/26/2018,34037.00,20
4D Lotto,5-2-9-0,10/29/2018,81910.00,10
4D Lotto,5-2-2-5,10/31/2018,10000.00,47
4D Lotto,4-0-5-6,11/2/2018,35914.00,17
4D Lotto,5-3-5-1,11/5/2018,35524.00,22
4D Lotto,7-1-8-7,11/7/2018,36160.00,21
4D Lotto,9-7-0-8,11/9/2018,20801.00,28
4D Lotto,4-9-6-2,11/12/2018,25206.00,29
4D Lotto,7-1-6-6,11/14/2018,31417.00,24
4D Lotto,7-6-0-2,11/16/2018,65580.00,12
4D Lotto,4-0-3-5,11/19/2018,34720.00,21
4D Lotto,8-2-1-3,11/21/2018,18171.00,27
4D Lotto,3-0-0-8,11/23/2018,16338.00,35
4D Lotto,4-8-4-0,11/26/2018,62376.00,12
4D Lotto,0-0-1-2,11/28/2018,17019.00,17
4D Lotto,1-9-6-8,11/30/2018,10000.00,126
4D Lotto,9-2-1-7,12/3/2018,17443.00,12
